dev,ino,size_bytes
2053,2495502,7198
2053,2495503,7271
2053,2495504,7294
2053,2495507,3182
2053,2495509,2357
2053,2495511,2613
2053,2495513,2661
2053,2495515,2140
2053,2495516,2790
2053,2495518,2890
2053,2495519,3542016
2053,2495520,2616
2053,2495521,3261
2053,2495522,3447808
2053,2495524,3372032
2053,2495525,284
2053,2495526,7295
2053,2495527,2036736
2053,2495528,2949120
2053,2495529,3826688
2053,2495530,548864
2053,2495531,4870144
2053,2495532,1619968
2053,2495533,578560
2053,2495534,1242112
2053,2495535,2728960
2053,2495536,1273856
2053,2495537,2434048
2053,2495538,3534848
2053,2495539,680960
2053,2495540,2233344
2053,2495541,4295680
2053,2495542,1119232
2053,2495543,56
2053,2495544,748544
2053,2495545,4661248
2053,2495546,4508672
2053,2495547,181
2053,2495548,1217
2053,2495549,7415
2053,2495550,7137
2053,2495551,7123
2053,2495552,7085
2053,2495555,3150
2053,2495557,13093
2053,2495559,3187
2053,2495561,2359
2053,2495563,2880
2053,2495566,2818048
2053,2495568,2789
2053,2495571,4268032
2053,2495572,12284
2053,2495573,14009
2053,2495574,2874
2053,2495575,3610
2053,2495576,2881
2053,2495578,3610
2053,2495582,7085
2053,2495583,119
2053,2495584,119
2053,2495585,5053440
2053,2495586,14019
2053,2495588,830
2053,2495589,239298
2053,2495590,1517568
2053,2495591,1896448
2053,2495592,2375680
2053,2495593,806912
2053,2495594,3592192
2053,2495595,990208
2053,2495596,2034688
2053,2495597,2113536
2053,2495598,484352
2053,2495599,1393664
2053,2495600,3266560
2053,2495601,3901440
2053,2495602,2607104
2053,2495603,4119552
2053,2495604,1465344
2053,2495605,1344512
2053,2495606,894976
2053,2495607,4282368
2053,2495608,2460672
2053,2495609,2883584
2053,2495610,4413440
2053,2495611,4082688
2053,2495612,1790976
2053,2495613,674816
2053,2495614,3224576
2053,2495615,4044800
2053,2495616,180
2053,2495617,1682432
2053,2495619,1197
2053,2495620,3175424
2053,2495621,4632
2053,2495622,4347
2053,2495623,10961
2053,2495624,11845
2053,2495625,9001
2053,2495626,8802
2053,2495627,8982
2053,2495629,8499
2053,2495630,1313792
2053,2495632,6280880
2053,2495633,238611
2053,2495634,2983
2053,2495635,399
2053,2495636,1325
2053,2495637,2717
2053,2495638,19
2053,2495640,73002
2053,2495645,1166
2053,2495647,3065
2053,2495648,297122
2053,2495649,1138
2053,2495650,336
2053,2495651,1048
2053,2495652,1048
2053,2495653,190555
2053,2495654,268
2053,2495655,1074
2053,2495656,4792
2053,2495657,143
2053,2495658,2757
2053,2495659,50071
2053,2495660,4792
2053,2495661,65931
2053,2495662,45453
2053,2495663,1340
2053,2495664,1950
2053,2495665,2778
2053,2495667,14812
2053,2495668,9923
2053,2495669,17782
2053,2495670,10412
2053,2495671,733184
2053,2495672,0
2053,2495673,6739
2053,2495674,31686
2053,2495675,31534
2053,2495676,36428
2053,2495677,48538
2053,2495678,36404
2053,2495679,37975
2053,2495680,36152
2053,2495681,38305
2053,2495682,40801
2053,2495683,37033
2053,2495684,37493
2053,2495685,37121
2053,2495686,37383
2053,2495687,36352
2053,2495688,125087
2053,2495689,1096
2053,2495690,551
2053,2495691,99523
2053,2495692,699
2053,2495694,1173
2053,2495695,15705
2053,2495697,3532
2053,2495698,3646
2053,2495699,104986
2053,2495700,104845
2053,2495701,102044
2053,2495702,88225
2053,2495703,87297
2053,2495704,86539
2053,2495705,110239
2053,2495706,74942
2053,2495708,455056
2053,2495709,1416
2053,2495710,2373
2053,2495711,5232
2053,2495712,2916
2053,2495713,4550
2053,2495714,21509
2053,2495716,70073
2053,2495717,113
2053,2495718,41192
2053,2495719,40485
2053,2495720,52006
2053,2495721,86334
2053,2495722,55215
2053,2495723,59020
2053,2495724,56755
2053,2495725,69248
2053,2495726,60002
2053,2495727,58266
2053,2495728,58154
2053,2495729,55923
2053,2495730,53162
2053,2495731,5312884
2053,2495733,263125
2053,2495734,55030
2053,2495735,185230
2053,2495737,507
2053,2495738,1579
2053,2495739,574
2053,2495740,1453
2053,2495741,902
2053,2495742,396
2053,2495744,118771
2053,2495745,133833
2053,2495746,211985
2053,2495747,190672
2053,2495748,206060
2053,2495749,278594
2053,2495750,220683
2053,2495751,208468
2053,2495752,242372
2053,2495754,796
2053,2495755,327
2053,2495756,1810
2053,2495757,489
2053,2495758,825
2053,2495759,1061
2053,2495760,227
2053,2495761,99
2053,2495762,5389
2053,2495763,957
2053,2495764,2932
2053,2495765,900
2053,2495766,298
2053,2495767,152
2053,2495768,1511
2053,2495769,282
2053,2495770,164
2053,2495771,119
2053,2495772,3201
2053,2495773,16101
2053,2495774,163
2053,2495775,70
2053,2495776,1299
2053,2495778,1691
2053,2495779,235
2053,2495780,623
2053,2495782,1342
2053,2495783,1849
2053,2495784,3989
2053,2495786,494
2053,2495788,529
2053,2495789,1465
2053,2495790,331
2053,2495791,511
2053,2495792,1068
2053,2495793,4019
2053,2495795,631
2053,2495797,1792
2053,2495798,9187
2053,2495799,5801
2053,2495803,2599
2053,2495804,2371
2053,2495805,63856
2053,2495806,63755
2053,2495807,62516
2053,2495808,53060
2053,2495809,52700
2053,2495810,52285
2053,2495811,66684
2053,2495812,45443
2053,2495815,2617
2053,2495816,2445
2053,2495817,65020
2053,2495818,64922
2053,2495819,63617
2053,2495820,54123
2053,2495821,53769
2053,2495822,53407
2053,2495823,67836
2053,2495824,46552
2053,2495827,2810
2053,2495828,2486
2053,2495829,72341
2053,2495830,72227
2053,2495831,70877
2053,2495832,59836
2053,2495833,59441
2053,2495834,58832
2053,2495835,75211
2053,2495836,51451
2053,2495839,3263
2053,2495840,3123
2053,2495841,108049
2053,2495842,107895
2053,2495843,106051
2053,2495844,88399
2053,2495845,87818
2053,2495846,87221
2053,2495847,111050
2053,2495848,77467
2053,2495851,2834
2053,2495852,2540
2053,2495853,75102
2053,2495854,74997
2053,2495855,73458
2053,2495856,61737
2053,2495857,61323
2053,2495858,60753
2053,2495859,78016
2053,2495860,52728
2053,2495863,2819
2053,2495864,2653
2053,2495865,78214
2053,2495866,78086
2053,2495867,76677
2053,2495868,64557
2053,2495869,64141
2053,2495870,63603
2053,2495871,81079
2053,2495872,56156
2053,2495875,2694
2053,2495876,2495
2053,2495877,75811
2053,2495878,75706
2053,2495879,74302
2053,2495880,62611
2053,2495881,62198
2053,2495882,61731
2053,2495883,78685
2053,2495884,53802
2053,2495887,2847
2053,2495888,2682
2053,2495889,82744
2053,2495890,82618
2053,2495891,81120
2053,2495892,68371
2053,2495893,67922
2053,2495894,67447
2053,2495895,85626
2053,2495896,59185
2053,2495899,2822
2053,2495900,2559
2053,2495901,75205
2053,2495902,75095
2053,2495903,73675
2053,2495904,61873
2053,2495905,61446
2053,2495906,60953
2053,2495907,78098
2053,2495908,53138
2053,2495911,2825
2053,2495912,2496
2053,2495913,76624
2053,2495914,76513
2053,2495915,75088
2053,2495916,62960
2053,2495917,62548
2053,2495918,62083
2053,2495919,79523
2053,2495920,54185
2053,2495923,2886
2053,2495924,2589
2053,2495925,75105
2053,2495926,74991
2053,2495927,73437
2053,2495928,61763
2053,2495929,61350
2053,2495930,60745
2053,2495931,78009
2053,2495932,52923
2053,2495935,2855
2053,2495936,2531
2053,2495937,78033
2053,2495938,77905
2053,2495939,76432
2053,2495940,64382
2053,2495941,63959
2053,2495942,63999
2053,2495943,80908
2053,2495944,55862
2053,2495947,2848
2053,2495948,2514
2053,2495949,74831
2053,2495950,74715
2053,2495951,73280
2053,2495952,61983
2053,2495953,61582
2053,2495954,61053
2053,2495955,77703
2053,2495956,53474
2053,2495958,988
2053,2495960,449
2053,2495961,913
2053,2495962,296
2053,2495966,240072
2053,2495967,47343
2053,2495968,182460
2053,2495971,278244
2053,2495972,55771
2053,2495973,184931
2053,2495976,242671
2053,2495977,47421
2053,2495978,182679
2053,2495981,385787
2053,2495982,75894
2053,2495983,191694
2053,2495986,295201
2053,2495987,55425
2053,2495988,185256
2053,2495991,280569
2053,2495992,53414
2053,2495993,185193
2053,2495996,283214
2053,2495997,56638
2053,2495998,185573
2053,2496001,319966
2053,2496002,66368
2053,2496003,188450
2053,2496006,288857
2053,2496007,55311
2053,2496008,185645
2053,2496011,291410
2053,2496012,56726
2053,2496013,186292
2053,2496016,287563
2053,2496017,56446
2053,2496018,186127
2053,2496021,286184
2053,2496022,54961
2053,2496023,185308
2053,2496026,278861
2053,2496027,56245
2053,2496028,184821
2053,2496031,502784
2053,2496032,123904
2053,2496033,1056
2053,2496034,2922496
2053,2496035,1867776
2053,2496036,1813504
2053,2496037,3657728
2053,2496038,733184
2053,2496039,393216
2053,2496040,4692992
2053,2496041,1958912
2053,2496042,385024
2053,2496043,2478080
2053,2496044,1718272
2053,2496045,4078592
2053,2496046,1518592
2053,2496047,4642816
2053,2496048,4067328
2053,2496049,1838080
2053,2496050,2326528
2053,2496051,4472832
2053,2496052,4212736
2053,2496053,4267008
2053,2496054,1889280
2053,2496055,2155520
2053,2496056,2375680
2053,2496057,1412096
2053,2496058,1294336
2053,2496059,1207296
2053,2496060,3181568
2053,2496061,870400
2053,2496062,1354752
2053,2496063,2688000
2053,2496064,2182144
2053,2496065,4907008
2053,2496066,2183168
2053,2496067,768000
2053,2496068,3590144
2053,2496069,1960960
2053,2496070,3489792
2053,2496071,427008
2053,2496072,4210688
2053,2496073,4450304
2053,2496074,3271680
2053,2496075,4292608
2053,2496076,4818944
2053,2496077,3377152
2053,2496078,1302528
2053,2496079,4835328
2053,2496080,5052416
2053,2496081,1813504
2053,2496082,3300352
2053,2496083,4099072
2053,2496084,4796416
2053,2496085,1684480
2053,2496086,2739200
2053,2496087,2240512
2053,2496088,3051520
2053,2496089,2700288
2053,2496090,920576
2053,2496091,1868800
2053,2496092,2122752
2053,2496093,838656
2053,2496094,832512
2053,2496095,4287488
2053,2496096,1224704
2053,2496097,1748992
2053,2496098,373760
2053,2496099,4029440
2053,2496100,3345408
2053,2496101,1486848
2053,2496102,240640
2053,2496103,842752
2053,2496104,2141184
2053,2496105,860160
2053,2496106,3750912
2053,2496107,2168832
2053,2496108,4511744
2053,2496109,3166208
2053,2496110,5001216
2053,2496111,3960832
2053,2496112,3461120
2053,2496113,593920
2053,2496114,1262592
2053,2496115,4663296
2053,2496116,81920
2053,2496117,3508224
2053,2496118,4492288
2053,2496119,1452032
2053,2496120,4867072
2053,2496121,4786176
2053,2496122,1258496
